caseId,manualScore,readabilityOk,requiredPreserved,majorOverlap,comment
case_001,2,yes,yes,no,
case_002,2,yes,yes,no,
case_003,2,yes,yes,no,
case_004,2,yes,yes,no,
case_005,2,yes,yes,no,
case_006,2,yes,yes,no,
case_007,2,yes,yes,no,
case_008,2,yes,yes,no,
case_009,2,yes,yes,no,
case_010,2,yes,yes,no,
case_011,2,yes,yes,no,
case_012,2,yes,yes,no,
case_013,2,yes,yes,no,
case_014,2,yes,yes,no,
case_015,1,yes,yes,yes,Пересечение декоративных элементов
case_016,2,yes,yes,no,
case_017,2,yes,yes,no,
case_018,2,yes,yes,no,
case_019,2,yes,yes,no,
case_020,1,yes,yes,yes,Пересечение декоративных элементов
case_021,2,yes,yes,no,
case_022,2,yes,yes,no,
case_023,2,yes,yes,no,
case_024,2,yes,yes,no,
case_025,2,yes,yes,no,
case_026,2,yes,yes,no,
case_027,2,yes,yes,no,
case_028,2,yes,yes,no,
case_029,2,yes,yes,no,
case_030,2,yes,yes,no,
case_031,2,yes,yes,no,
case_032,2,yes,yes,no,
case_033,2,yes,yes,no,
case_034,2,yes,yes,no,
case_035,1,yes,yes,yes,Пересечение декоративных элементов
case_036,2,yes,yes,no,
case_037,2,yes,yes,no,
case_038,2,yes,yes,no,
case_039,2,yes,yes,no,
case_040,2,yes,yes,no,
case_041,2,yes,yes,no,
case_042,2,yes,yes,no,
case_043,2,yes,yes,no,
case_044,2,yes,yes,no,
case_045,1,yes,yes,yes,Пересечение декоративных элементов
case_046,2,yes,yes,no,
case_047,2,yes,yes,no,
case_048,2,yes,yes,no,
case_049,2,yes,yes,no,
case_050,2,yes,yes,no,
case_051,2,yes,yes,no,
case_052,2,yes,yes,no,
case_053,2,yes,yes,no,
case_054,2,yes,yes,no,
case_055,2,yes,yes,no,
case_056,2,yes,yes,no,
case_057,2,yes,yes,no,
case_058,2,yes,yes,no,
case_059,2,yes,yes,no,
case_060,1,yes,yes,yes,Пересечение декоративных элементов
case_061,2,yes,yes,no,
case_062,2,yes,yes,no,
case_063,2,yes,yes,no,
case_064,2,yes,yes,no,
case_065,2,yes,yes,no,
case_066,2,yes,yes,no,
case_067,2,yes,yes,no,
case_068,2,yes,yes,no,
case_069,2,yes,yes,no,
case_070,2,yes,yes,no,
case_071,2,yes,yes,no,
case_072,2,yes,yes,no,
case_073,2,yes,yes,no,
case_074,2,yes,yes,no,
case_075,1,yes,yes,yes,Пересечение декоративных элементов
case_076,2,yes,yes,no,
case_077,2,yes,yes,no,
case_078,2,yes,yes,no,
case_079,2,yes,yes,no,
case_080,2,yes,yes,no,
case_081,2,yes,yes,no,
case_082,2,yes,yes,no,
case_083,2,yes,yes,no,
case_084,2,yes,yes,no,
case_085,1,yes,yes,yes,Пересечение декоративных элементов
case_086,2,yes,yes,no,
case_087,2,yes,yes,no,
case_088,2,yes,yes,no,
case_089,2,yes,yes,no,
case_090,1,yes,yes,yes,Пересечение декоративных элементов
